# mRange,cKinked,cIRA,period
1.698435093952754160e+00,9.724353334720802211e-01,9.694626519836938572e-01,1.500000000000000000e+01
1.708435093952753947e+00,9.736704791047148255e-01,9.705991041252973739e-01,1.500000000000000000e+01
1.718435093952753734e+00,9.748383074500226453e-01,9.717355562669010016e-01,1.500000000000000000e+01
1.728435093952753965e+00,9.759640708427536060e-01,9.728720084085047404e-01,1.500000000000000000e+01
1.738435093952754196e+00,9.770898342354846777e-01,9.740084605501082571e-01,1.500000000000000000e+01
1.748435093952753983e+00,9.782155976282156384e-01,9.751449126917119958e-01,1.500000000000000000e+01
1.758435093952753769e+00,9.793413610209465991e-01,9.762813648333155125e-01,1.500000000000000000e+01
1.768435093952754000e+00,9.804671244136775599e-01,9.774178169749192513e-01,1.500000000000000000e+01
1.778435093952754231e+00,9.815928878064086316e-01,9.785542691165227680e-01,1.500000000000000000e+01
1.788435093952754018e+00,9.827186511991395923e-01,9.796907212581265068e-01,1.500000000000000000e+01
1.798435093952753805e+00,9.838444145918705530e-01,9.808271733997301345e-01,1.500000000000000000e+01
1.808435093952754036e+00,9.849701779846015137e-01,9.819636255413336512e-01,1.500000000000000000e+01
1.818435093952754267e+00,9.860959413773326965e-01,9.831000776829372789e-01,1.500000000000000000e+01
1.828435093952754054e+00,9.872217047700635462e-01,9.842365298245410177e-01,1.500000000000000000e+01
1.838435093952753840e+00,9.883474681627945069e-01,9.853729819661445344e-01,1.500000000000000000e+01
1.848435093952754071e+00,9.894732315555255786e-01,9.865094341077480511e-01,1.500000000000000000e+01
1.858435093952754302e+00,9.905989949482565393e-01,9.876458862493517898e-01,1.500000000000000000e+01
1.868435093952754089e+00,9.917247583409876110e-01,9.887823383909553066e-01,1.500000000000000000e+01
1.878435093952753876e+00,9.928505217337184607e-01,9.899187905325590453e-01,1.500000000000000000e+01
1.888435093952754107e+00,9.939762851264495325e-01,9.910552426741625620e-01,1.500000000000000000e+01
1.898435093952754338e+00,9.951020485191804932e-01,9.921916948157664118e-01,1.500000000000000000e+01
1.908435093952754125e+00,9.962278119119115649e-01,9.933281469573700395e-01,1.500000000000000000e+01
1.918435093952753911e+00,9.973529413438025903e-01,9.944645990989735562e-01,1.500000000000000000e+01
1.928435093952754142e+00,9.984200814185024697e-01,9.956010512405772950e-01,1.500000000000000000e+01
1.938435093952754373e+00,9.994872214932024601e-01,9.967375033821809227e-01,1.500000000000000000e+01
1.948435093952754160e+00,1.000554361567902228e+00,9.978739555237845504e-01,1.500000000000000000e+01
1.958435093952753947e+00,1.001621501642602219e+00,9.990104076653880671e-01,1.500000000000000000e+01
1.968435093952754178e+00,1.002688641717301987e+00,1.000146859806991806e+00,1.500000000000000000e+01
1.978435093952754409e+00,1.003755781792001978e+00,1.001283311948595323e+00,1.500000000000000000e+01
1.988435093952754196e+00,1.004822921866701746e+00,1.002419764090199061e+00,1.500000000000000000e+01
1.998435093952753983e+00,1.005890061941401736e+00,1.003556216231802578e+00,1.500000000000000000e+01
2.008435093952754436e+00,1.006957202016101505e+00,1.004675086622235813e+00,1.500000000000000000e+01
2.018435093952754222e+00,1.008024342090801273e+00,1.005720265330001251e+00,1.500000000000000000e+01
2.028435093952754009e+00,1.009091482165501263e+00,1.006765444037766688e+00,1.500000000000000000e+01
2.038435093952753796e+00,1.010158622240201032e+00,1.007810622745532125e+00,1.500000000000000000e+01
2.048435093952754471e+00,1.011225762314901022e+00,1.008855801453297563e+00,1.500000000000000000e+01
